release,dataset,variable,sex,age_band,n,mean,std,p05,p10,p25,p50,p75,p90,p95,analysis_status
2021-2023,ALB_CR_L,URXUMA,female,0-11,570,30.672596491228067,116.52688138208619,3.7905,4.788,6.6525,10.6,17.81,41.52300000000001,86.40799999999996,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,12-17,422,46.92364928909952,133.69384210063558,3.804,4.921,7.2725,12.085,28.8475,86.12100000000001,158.98549999999994,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,18-29,490,22.62195918367347,74.25283318383583,0.21,3.2880000000000003,5.11,9.395,16.86,31.157000000000004,62.59699999999998,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,30-39,508,23.474822834645668,97.38698962435787,0.21,3.098,5.0424999999999995,9.25,15.6325,32.399,47.058999999999976,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,40-49,444,42.51909909909911,280.29852273673595,0.21,0.21,4.355,8.21,15.2975,35.114999999999995,70.61699999999965,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,50-59,506,25.937569169960476,111.3106106842966,0.21,0.21,5.032500000000001,8.254999999999999,16.5,38.655,77.2025,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,60-69,800,23.0911625,88.99687214215706,0.21,3.1170000000000004,4.8625,8.285,15.11,33.413,63.4329999999999,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,70-79,487,36.747125256673506,110.22284736396198,3.219,4.128,6.3,11.02,20.6,60.65800000000007,124.45799999999993,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,female,80+,157,36.78426751592357,107.79636410549232,4.188000000000001,5.4,8.57,13.45,21.15,45.660000000000025,96.01399999999985,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,0-11,590,18.735898305084746,77.50360178359048,3.62,4.188000000000001,5.7425,8.559999999999999,13.425,24.389000000000006,39.961999999999996,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,12-17,399,52.74942355889724,238.75980161188625,3.801,4.368,6.585,10.72,20.615000000000002,58.84999999999995,138.05999999999966,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,18-29,409,22.19963325183374,70.15284491465808,0.21,3.422,5.39,8.39,15.81,30.819999999999997,54.57999999999998,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,30-39,379,20.753007915567284,95.17490422429178,0.21,0.21,4.72,7.98,14.075,25.289999999999996,44.86999999999986,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,40-49,339,30.477138643067846,226.6031643418013,0.21,3.4580000000000006,5.72,9.3,14.215,28.505999999999993,50.239999999999945,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,50-59,411,74.74941605839416,455.8750833556669,0.21,3.52,5.645,9.67,18.18,56.65,199.005,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,60-69,645,47.74533333333333,159.8489799986367,3.016,3.8620000000000005,6.25,9.97,22.53,75.83200000000006,162.39199999999994,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,70-79,443,51.79810383747178,184.71936655398872,3.717,4.676,7.45,11.83,32.915,74.454,148.688,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMA,male,80+,154,75.9811038961039,193.58690301862387,4.984,5.997000000000001,8.802499999999998,17.245,51.917500000000004,163.05100000000002,214.4759999999999,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMS,female,0-11,570,30.672596491228067,116.52688138208619,3.7905,4.788,6.6525,10.6,17.81,41.52300000000001,86.40799999999996,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMS,female,12-17,422,46.92364928909952,133.69384210063558,3.804,4.921,7.2725,12.085,28.8475,86.12100000000001,158.98549999999994,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMS,female,18-29,490,22.62195918367347,74.25283318383583,0.21,3.2880000000000003,5.11,9.395,16.86,31.157000000000004,62.59699999999998,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMS,female,30-39,508,23.474822834645668,97.38698962435787,0.21,3.098,5.0424999999999995,9.25,15.6325,32.399,47.058999999999976,exploratory_unweighted_not_clinical_reference
2021-2023,ALB_CR_L,URXUMS,female,40-49,444,42.51909909909911,280.29852273673595,0.21,0.21,4.355,8.21,15.2975,35.114999999999995,70.61699999999965,exploratory_unweighted_not_clinical_reference
